ADDRESS,ANC,BENEFITS,BUS,CITY,CREATED_DATE,DAYS,ENDDATE,GLOBALID,LAST_EDITED_DATE,LATITUDE,LONGITUDE,MAR_ID,MAR_MATCHADDRESS,MD_COUNTY,METRO,NAME,OBJECTID,PARKING,SE_ANNO_CAD_DATA,SOCIAL,STARTDATE,STATE,TIMES,WARD,WEBSITE,X_COORDINATE,Y_COORDINATE,ZIPCODE
"4600 Waverly Ave, Garrett Park, MD 20896",,SNAP; WIC FMNP; Senior FMNP; Produce Plus,38,Garrett Park,1752272575000,Saturday,December,{6625B215-017C-4792-9373-60B6B480B805},1752272575000,39.038193,-77.092897,,,Montgomery,Red Line: Shady Grove,Garrett Park Farmers Market,63,,,,February,MD,9:00 AM - 1:00 PM,,https://garrettparkmd.gov/residents/penn_place/farmers_market.php,391957.56768124,152249.26165818,20896
"Fire Station 3716 Rhode Island Ave, Brentwood, MD 20722",,SNAP; WIC FMNP; Senior FMNP; Produce Plus,83/ 86/ B2/ G8/ F1/ T14/ T18/ X8,Brentwod,1752272575000,Saturday,November,{0F602A1E-3A1D-407A-8A38-86AA7F37AE61},1752272575000,38.93878,-76.957577,,,Prince George's,,Gateway Farmers Market,64,,,Instagram: @gateway_farmersmarket,May,MD,9:00 AM - 1:00 PM,,,403678.13172945,141210.19670711,20722
"Hollywood Shopping Center  9801 Rhode Island Avenue , College Park, MD 20740",,SNAP; WIC FMNP; Senior FMNP; Produce Plus,,College Park,1752272575000,Saturday,November,{8A3292A2-D1C9-462D-8206-029600A080BD},1752272575000,39.013585,-76.921193,,,Prince George's,Bus: 83 Metro: Green Greenbelt Marc SB; Red Rhode Island Ave-Brentwood,Hollywood Farmers Market,65,,,,April,MD,9:00 AM - 1:00 PM,,https://hollywoodmarket.org/,406825.33488236,149516.36221288,20740
"6220 Rhode Island Avenue Riverdale Park, MD 20737",,SNAP; WIC FMNP; Senior FMNP; Produce Plus We double SNAP; WIC FMNP; and Senior FMNP.,,Riverdale Park,1752272575000,Thursday,,{01562EA6-F803-43EE-94C5-C3CC4B3F157F},1752272575000,38.963176,-76.93534199999999,,,Montgomery,"Bus: 14, 83, 86, F4, F6 Metro: Green Hyattsville Crossing Parking Available",Riverdale Park Farmers Market,66,,,Rparkfm,Year round,MD,3:00 PM - 7:00 PM,,https://www.facebook.com/RPFMarket,405603.91420529,143919.50340262,20737
"1 Veterans Pl, Silver Spring, MD",,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,,Silver Spring,1752272575000,Saturday,,{8016A34D-60BB-4C2B-B047-A38189A47592},1752272575000,38.997122999999995,-77.025037,,,Montgomery,Red Line: Silver Spring,FRESHFARM Downtown Silver Spring,67,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",Year round,MD,9:00 AM - 1:00 PM,,https://www.freshfarm.org/markets,397831.34962019,147686.26268481,20910
"5171 S. Dakota Ave. NE Washington, DC 20017 (near the Fort Totten Metro station on the Red, Yellow, and Green lines).",ANC 5A,SNAL/ PP. NFMNP,80/E4/K6/K9/60/64/E2/F6/K2/R1/R2,Washington,1752272575000,Friday,October,{080A2D24-BCE5-4EA4-9DE1-FA6BE5B4A5E1},1752272575000,38.95334086,-76.99726739,294607,5171 SOUTH DAKOTA AVENUE NE,,Green/Red Line: Fort Totten,UDC Lamont Riggs Farmers Market,68,Yes,,https://www.facebook.com/farmersalliancengo/,May,DC,4:00 PM - 8:00 PM,Ward 5,https://www.thefarmersalliance.org/markets/lamond-riggs,400236.86,142826.56,20017
5929 East Capitol St. SE Washington DC 20019,ANC 7C,Produce Plus;SNAP - Market Level;SNAP - Individual Farmer;Senior FMNP;WIC FMNP,V2/V4/96/A12/F14/X9/24,Washington,1752272575000,Saturday,November,{DE26CF93-4A79-4364-A248-226A1D698526},1752272575000,38.88942931,-76.91604499,288740,5929 EAST CAPITOL STREET SE,,Silver/Blue Lines: Capitol Heights,East Capitol Farmers Market,69,Yes,,"INSTAGRAM FarmersAlliance.ngo""""",May,DC,10:00 AM - 3:00 PM,Ward 7,https://www.thefarmersalliance.org/eastcapitol,407283.66000000003,135735.22,20019
300 V St NW/ Washington/ DC 20001,ANC 1B,SNAP; WIC FMNP; Senior FMNP; Produce Plus; Pay What You Can/Sliding Scale Pricing Structures We double SNAP.,G2/ G8/ 63/ 64/ 70/ 79/ 90/ 92/ 96,Washington,1752272575000,Wednesdays,November,{D10F1317-A638-483C-9887-EAA3502E4557},1752272575000,38.91851686,-77.01620305,807762,200 - 399 BLOCK OF V STREET NW,,Green Line: Shaw-Howard U,Common Good City Farm,2,Parking Available (street),,IG: @commongoodcityfarm Facebook: https://www.facebook.com/CommonGoodCityFarm/,May,DC,3:30 PM - 6:30 PM,Ward 1,https://www.commongoodcityfarm.org,398594.85000000003,138960.95,20001
(Unity Park) Euclid Street & Columbia Road,ANC 1C,WIC FMNP; Senior FMNP; Produce Plus,42/ 43/ 90/ 96/ L2,Washington,1752272575000,Saturday,December,{3355BE9E-33DD-413B-940F-7BC87575B6D3},1752272575000,38.92305511,-77.04209382,911177,EUCLID STREET NW AND COLUMBIA ROAD NW,,Red Line: Dupont Circle; Woodley Park-Zoo/Adams Morgan; Green Line: Columbia Heights,Adams Morgan Farmers Market,1,,,@lickingcreekbendfarm,June,DC,8:30 AM - 1:00 PM,Ward 1,https://www.lickingcreekbendfarm.com,396349.79999457,139465.45001486,20009
"1400 Park Rd NW, Washington, DC 20010",ANC 1A,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,52/ 54/ 59,Washington,1752272575000,Wednesday; Saturday,Wednesday ends November; Saturdays year round,{EF32097B-3B34-4CE3-91E6-D4FF91F2B327},1752272575000,38.93023077,-77.03274852,906284,14TH STREET NW AND PARK ROAD NW,,Green Line: Columbia Heights,FRESHFARM Columbia Heights (WED/SAT),3,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",Wednesdays in May; Saturdays year round,DC,Wednesday 3:00 PM - 7:00 PM; Saturday 9:00 AM - 1:00 PM,Ward 1,https://www.freshfarm.org/markets,397160.47106732,140261.67798359,20010
Plaza at 3200 Mount Pleasant St NW DC 20010,ANC 1D,SNAP market level; WIC; WIC FMNP; Senior FMNP; Produce Plus; Fresh Match,42/43/H2/H4/H8/S2/S9,Washington,1752272575000,Saturday,,{C57CCF10-1769-41FF-AD66-829B18220DB6},1752272575000,38.93115254,-77.03830797,904466,MOUNT PLEASANT STREET NW AND LAMONT STREET NW,,Green Line: Columbia Heights,Mount Pleasant Farmers' Market,4,,,https://www.instagram.com/mtpfm/,year round,DC,9:00 AM - 1:00 PM,Ward 1,https://www.facebook.com/MtPFarMar,396678.47001087,140364.19001569,20010
"Wah Luck House, 800 6th Street NW",ANC 2C,SNAP; WIC FMNP; Senior FMNP; Produce Plus  We double SNAP; WIC FMNP; and Senior FMNP.,80/ P6/ X2,Washington,1752272575000,Wednesdays,December,{311CFEB0-576C-4D59-9ED9-CFB57BD0A28D},1752272575000,38.90022874,-77.02018939,279939,800 6TH STREET NW,,Green/Yellow/Red Line: Gallery Pl-Chinatown,Arcadia Mobile Market at Wah Luck,5,Yes,,facebook.com/arcadiafood  instagram.com/arcadiafood,May,DC,10:30 AM - 1:30 PM,Ward 2,https://www.arcadiafood.org,398248.7,136930.85,20001
"810 Vermont Ave NW, Washington, DC 20420",ANC 2C,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,G11/ 3Y/ 32/ D6/ S2/ X2,Washington,1752272575000,Thursday,November,{49F4215F-CAC8-497A-86CF-8852735E1935},1752272575000,38.90082297,-77.03522768,279954,810 VERMONT AVENUE NW,,Red Line: Farragut North; Orange/Blue/Silver: McPherson Square,FRESHFARM By the White House,6,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",April,DC,11:00 AM - 2:00 PM,Ward 2,https://www.freshfarm.org/markets,396944.25,136997.21,20420
"1098 New York Ave NW, Washington, DC 20001",ANC 2C,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,G8/ X2/ 62/ S2,Washington,1752272575000,Tuesday,October,{9432D03F-862E-4BC9-9740-35D6F3FC055D},1752272575000,38.90108477,-77.02624583,307815,890 10TH STREET NW,,"Red/Green/Yellow Line: Gallery Pl-Chinatown, Metro Center; Orange/Blue/Silver: McPherson Square, Metro Center",FRESHFARM CityCenterDC,7,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",May,DC,11:00 AM - 2:00 PM,Ward 2,https://www.freshfarm.org/markets,397723.37,137026.01,20001
"1600 20th St NW, Washington, DC 20009",ANC 2B,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,42/ N2/ N4/ N6/ D6,Washington,1752272575000,Sunday,,{1FF0D64F-5F5C-4771-A038-786F80BC7BE3},1752272575000,38.91112636,-77.0448877,900433,Q STREET NW AND 20TH STREET NW,,Red Line: Dupont Circle,FRESHFARM Dupont Circle,8,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",Year round,DC,8:30 AM - 1:30 PM,Ward 2,https://www.freshfarm.org/markets,396106.87500234,138141.37500563,20009
"301 49th Street NE, Washington, DC 20019",ANC 7C,SNAP; WIC FMNP; Senior FMNP; Produce Plus; Breadcoin We double SNAP.,U5/ U6,Washington,1752272575000,Saturday,November,{7DC2AB81-CE63-4EF4-B690-8EFC723A7D31},1752272575000,38.89331541,-76.93245515,294476,301 49TH STREET NE,,Silver/Blue Line: Benning Road ,Dreaming Out Loud's Kelly Miller Market,39,Parking Available,,@doldc & @dolgrocery,June,DC,10:00 AM - 1:00 PM,Ward 7,https://www.dolgrocery.org,405859.65,136165.39,20019
5701 Broad Branch Rd NW,ANC 3/4G,SNAP - Individual Farmer; DC PIP,E4,Washington,1752281937000,Saturday,December,{41AC74D8-9709-4909-8578-40DB5C2BDE5C},1752281937000,38.966628,-77.06803699999999,294611,5701 BROAD BRANCH ROAD NW,,,Chevy Chase Farmers Market,323,Yes,,Chevychasefarmersmarket,April,DC,9:00 AM - 1:00 PM,Ward 4,www.chevychasefarmersmarket.com,394103.71,144303.7,20015
50 Massachusetts Avenue NE ,ANC 6C,"Produce Plus;SNAP - Market Level;SNAP - Individual Farmer;Senior FMNP;WIC FMNP; No, but I am interested in matching benefits.",,Washington,1752282277000,Friday,September,{FA35D1EE-0D6E-470E-BDD2-3B5FFC3315C0},1752282277000,38.897619,-77.006176,293243,50 MASSACHUSETTS AVENUE NE,,Red Line: Union Station,West Porch Fridays (Union Station),325,Yes,,https://www.instagram.com/ecking___ton.hall/,June,DC,11:30 AM - 3:30 PM,Ward 6,https://www.unionstationdc.com/events/west-porch-fridays/,399464.27,136641.06,20002
